Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32306819,WHS3_46,REGION,AFR,YEAR,1980,,,,,,,,,17241,17241,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306820,WHS3_46,REGION,AMR,YEAR,1980,,,,,,,,,7055,7055,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306821,WHS3_46,REGION,EMR,YEAR,1980,,,,,,,,,17721,17721,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306822,WHS3_46,REGION,EUR,YEAR,1980,,,,,,,,,1400,1400,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306823,WHS3_46,REGION,GLOBAL,YEAR,1980,,,,,,,,,113936,113936,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306824,WHS3_46,REGION,SEAR,YEAR,1980,,,,,,,,,62176,62176,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306825,WHS3_46,REGION,WPR,YEAR,1980,,,,,,,,,8343,8343,,,,2023-07-11T12:08:11Z,1980,1980-01-01,1980-12-31
32306826,WHS3_46,REGION,AFR,YEAR,1981,,,,,,,,,19925,19925,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306827,WHS3_46,REGION,AMR,YEAR,1981,,,,,,,,,6246,6246,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306828,WHS3_46,REGION,EMR,YEAR,1981,,,,,,,,,18267,18267,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306829,WHS3_46,REGION,EUR,YEAR,1981,,,,,,,,,925,925,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306830,WHS3_46,REGION,GLOBAL,YEAR,1981,,,,,,,,,105679,105679,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306831,WHS3_46,REGION,SEAR,YEAR,1981,,,,,,,,,55084,55084,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306832,WHS3_46,REGION,WPR,YEAR,1981,,,,,,,,,5232,5232,,,,2023-07-11T12:08:11Z,1981,1981-01-01,1981-12-31
32306833,WHS3_46,REGION,AFR,YEAR,1982,,,,,,,,,21571,21571,,,,2023-07-11T12:08:11Z,1982,1982-01-01,1982-12-31
32306834,WHS3_46,REGION,AMR,YEAR,1982,,,,,,,,,6305,6305,,,,2023-07-11T12:08:11Z,1982,1982-01-01,1982-12-31
32306835,WHS3_46,REGION,EMR,YEAR,1982,,,,,,,,,21610,21610,,,,2023-07-11T12:08:11Z,1982,1982-01-01,1982-12-31
32306836,WHS3_46,REGION,EUR,YEAR,1982,,,,,,,,,1037,1037,,,,2023-07-11T12:08:12Z,1982,1982-01-01,1982-12-31
32306837,WHS3_46,REGION,GLOBAL,YEAR,1982,,,,,,,,,115440,115440,,,,2023-07-11T12:08:12Z,1982,1982-01-01,1982-12-31
32306838,WHS3_46,REGION,SEAR,YEAR,1982,,,,,,,,,58143,58143,,,,2023-07-11T12:08:12Z,1982,1982-01-01,1982-12-31
32306839,WHS3_46,REGION,WPR,YEAR,1982,,,,,,,,,6774,6774,,,,2023-07-11T12:08:12Z,1982,1982-01-01,1982-12-31
32306840,WHS3_46,REGION,AFR,YEAR,1983,,,,,,,,,18054,18054,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306841,WHS3_46,REGION,AMR,YEAR,1983,,,,,,,,,6062,6062,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306842,WHS3_46,REGION,EMR,YEAR,1983,,,,,,,,,18788,18788,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306843,WHS3_46,REGION,EUR,YEAR,1983,,,,,,,,,1021,1021,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306844,WHS3_46,REGION,GLOBAL,YEAR,1983,,,,,,,,,99078,99078,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306845,WHS3_46,REGION,SEAR,YEAR,1983,,,,,,,,,50325,50325,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306846,WHS3_46,REGION,WPR,YEAR,1983,,,,,,,,,4828,4828,,,,2023-07-11T12:08:12Z,1983,1983-01-01,1983-12-31
32306847,WHS3_46,REGION,AFR,YEAR,1984,,,,,,,,,16104,16104,,,,2023-07-11T12:08:12Z,1984,1984-01-01,1984-12-31
