Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32306123,WHS3_41,REGION,AFR,YEAR,1980,,,,,,,,,8771,8771,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306124,WHS3_41,REGION,AMR,YEAR,1980,,,,,,,,,5570,5570,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306125,WHS3_41,REGION,EMR,YEAR,1980,,,,,,,,,19970,19970,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306126,WHS3_41,REGION,EUR,YEAR,1980,,,,,,,,,271,271,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306127,WHS3_41,REGION,GLOBAL,YEAR,1980,,,,,,,,,97164,97164,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306128,WHS3_41,REGION,SEAR,YEAR,1980,,,,,,,,,47354,47354,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306129,WHS3_41,REGION,WPR,YEAR,1980,,,,,,,,,15228,15228,,,,2023-07-11T12:08:04Z,1980,1980-01-01,1980-12-31
32306130,WHS3_41,REGION,AFR,YEAR,1981,,,,,,,,,2764,2764,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306131,WHS3_41,REGION,AMR,YEAR,1981,,,,,,,,,4748,4748,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306132,WHS3_41,REGION,EMR,YEAR,1981,,,,,,,,,19983,19983,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306133,WHS3_41,REGION,EUR,YEAR,1981,,,,,,,,,224,224,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306134,WHS3_41,REGION,GLOBAL,YEAR,1981,,,,,,,,,74098,74098,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306135,WHS3_41,REGION,SEAR,YEAR,1981,,,,,,,,,33011,33011,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306136,WHS3_41,REGION,WPR,YEAR,1981,,,,,,,,,13368,13368,,,,2023-07-11T12:08:04Z,1981,1981-01-01,1981-12-31
32306137,WHS3_41,REGION,AFR,YEAR,1982,,,,,,,,,4618,4618,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306138,WHS3_41,REGION,AMR,YEAR,1982,,,,,,,,,4087,4087,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306139,WHS3_41,REGION,EMR,YEAR,1982,,,,,,,,,12800,12800,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306140,WHS3_41,REGION,EUR,YEAR,1982,,,,,,,,,208,208,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306141,WHS3_41,REGION,GLOBAL,YEAR,1982,,,,,,,,,60040,60040,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306142,WHS3_41,REGION,SEAR,YEAR,1982,,,,,,,,,24376,24376,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306143,WHS3_41,REGION,WPR,YEAR,1982,,,,,,,,,13951,13951,,,,2023-07-11T12:08:04Z,1982,1982-01-01,1982-12-31
32306144,WHS3_41,REGION,AFR,YEAR,1983,,,,,,,,,4099,4099,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306145,WHS3_41,REGION,AMR,YEAR,1983,,,,,,,,,4023,4023,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306146,WHS3_41,REGION,EMR,YEAR,1983,,,,,,,,,7635,7635,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306147,WHS3_41,REGION,EUR,YEAR,1983,,,,,,,,,455,455,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306148,WHS3_41,REGION,GLOBAL,YEAR,1983,,,,,,,,,49797,49797,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306149,WHS3_41,REGION,SEAR,YEAR,1983,,,,,,,,,20463,20463,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306150,WHS3_41,REGION,WPR,YEAR,1983,,,,,,,,,13122,13122,,,,2023-07-11T12:08:04Z,1983,1983-01-01,1983-12-31
32306151,WHS3_41,REGION,AFR,YEAR,1984,,,,,,,,,5135,5135,,,,2023-07-11T12:08:04Z,1984,1984-01-01,1984-12-31
32306152,WHS3_41,REGION,AMR,YEAR,1984,,,,,,,,,3546,3546,,,,2023-07-11T12:08:04Z,1984,1984-01-01,1984-12-31
