Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32308121,WHS3_62,REGION,AFR,YEAR,1980,,,,,,,,,1240993,1240993,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308122,WHS3_62,REGION,AMR,YEAR,1980,,,,,,,,,257790,257790,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308123,WHS3_62,REGION,EMR,YEAR,1980,,,,,,,,,341624,341624,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308124,WHS3_62,REGION,EUR,YEAR,1980,,,,,,,,,492660,492660,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308125,WHS3_62,REGION,GLOBAL,YEAR,1980,,,,,,,,,3852242,3852242,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308126,WHS3_62,REGION,SEAR,YEAR,1980,,,,,,,,,199535,199535,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308127,WHS3_62,REGION,WPR,YEAR,1980,,,,,,,,,1319640,1319640,,,,2023-07-11T12:08:25Z,1980,1980-01-01,1980-12-31
32308128,WHS3_62,REGION,AFR,YEAR,1981,,,,,,,,,1413184,1413184,,,,2023-07-11T12:08:25Z,1981,1981-01-01,1981-12-31
32308129,WHS3_62,REGION,AMR,YEAR,1981,,,,,,,,,252378,252378,,,,2023-07-11T12:08:25Z,1981,1981-01-01,1981-12-31
32308130,WHS3_62,REGION,EMR,YEAR,1981,,,,,,,,,453409,453409,,,,2023-07-11T12:08:25Z,1981,1981-01-01,1981-12-31
32308131,WHS3_62,REGION,EUR,YEAR,1981,,,,,,,,,460966,460966,,,,2023-07-11T12:08:25Z,1981,1981-01-01,1981-12-31
